staff_id,weekday,yesterday,before_yesterday,three_days_ago,is_leave
98,3,1,1,1,0
112,3,1,1,1,0
118,3,1,1,1,0
127,3,1,1,1,0
132,3,1,1,1,0
142,3,1,1,1,0
147,3,1,1,1,0
152,3,1,1,1,0
157,3,1,1,1,0
162,3,1,1,1,0
172,3,1,1,1,0
177,3,1,1,1,0
182,3,1,1,1,0
187,3,1,1,1,0
192,3,1,1,1,0
197,3,1,1,1,0
203,3,1,1,1,0
208,3,1,1,1,0
213,3,1,1,1,0
218,3,1,1,1,0
223,3,1,1,1,0
228,3,1,1,1,0
233,3,1,1,1,0
238,3,1,1,1,0
248,3,1,1,1,0
253,3,1,1,1,0
258,3,1,1,1,0
263,3,1,1,1,0
312,3,1,1,1,0
327,3,1,1,1,0
332,3,1,1,1,0
337,3,1,1,1,0
363,3,1,1,1,0
373,3,1,1,1,0
382,3,1,1,1,0
383,3,1,1,1,0
384,3,1,1,1,0
137,4,1,1,1,1
233,4,1,1,1,1
368,4,1,1,1,1
58,5,1,1,1,0
88,5,1,1,1,0
93,5,1,1,1,0
98,5,1,1,1,0
107,5,1,1,1,0
112,5,1,1,1,0
118,5,1,1,1,0
127,5,1,1,1,0
132,5,1,1,1,0
137,5,1,1,1,0
142,5,1,1,1,0
